iter	Passed	Remaining
0	140	41979
1	145	21666
2	150	14908
3	155	11506
4	160	9466
5	165	8113
6	170	7143
7	175	6395
8	179	5819
9	184	5361
10	189	4984
11	194	4666
12	199	4406
13	204	4178
14	209	3976
15	215	3823
16	220	3669
17	225	3529
18	230	3409
19	234	3286
20	239	3178
21	244	3085
22	248	2994
23	253	2914
24	259	2850
25	264	2785
26	268	2718
27	273	2660
28	278	2605
29	283	2555
30	289	2513
31	294	2465
32	299	2420
33	303	2377
34	309	2339
35	313	2301
36	318	2262
37	323	2227
38	327	2193
39	332	2162
40	337	2133
41	342	2106
42	347	2078
43	352	2052
44	357	2027
45	362	2002
46	367	1980
47	373	1958
48	378	1936
49	383	1915
50	388	1894
51	393	1875
52	398	1855
53	403	1836
54	408	1818
55	413	1801
56	418	1784
57	423	1767
58	428	1750
59	433	1733
60	438	1717
61	443	1701
62	448	1686
63	453	1670
64	458	1656
65	463	1641
66	467	1625
67	472	1611
68	476	1596
69	481	1583
70	486	1569
71	491	1556
72	496	1544
73	501	1531
74	506	1518
75	510	1505
76	515	1493
77	520	1481
78	525	1469
79	530	1458
80	534	1446
81	539	1435
82	544	1423
83	549	1413
84	554	1401
85	558	1390
86	563	1380
87	568	1370
88	573	1358
89	578	1348
90	583	1339
91	587	1329
92	592	1319
93	597	1309
94	602	1299
95	607	1290
96	611	1280
97	616	1271
98	622	1262
99	626	1253
100	631	1244
101	636	1235
102	641	1227
103	646	1218
104	651	1210
105	656	1201
106	661	1192
107	665	1183
108	670	1175
109	675	1167
110	680	1158
111	685	1151
112	690	1142
113	695	1134
114	700	1127
115	705	1119
116	710	1111
117	716	1104
118	721	1096
119	726	1089
120	732	1082
121	737	1075
122	742	1068
123	747	1061
124	752	1053
125	757	1046
126	762	1038
127	767	1030
128	771	1023
129	777	1016
130	782	1009
131	787	1002
132	792	995
133	797	987
134	802	980
135	806	973
136	812	966
137	817	959
138	822	952
139	826	944
140	831	937
141	835	930
142	840	922
143	844	915
144	849	907
145	854	901
146	858	894
147	863	886
148	868	879
149	872	872
150	877	865
151	882	858
152	886	851
153	890	844
154	895	837
155	900	830
156	904	824
157	909	817
158	913	810
159	918	803
160	922	796
161	927	789
162	931	783
163	936	776
164	940	769
165	945	763
166	949	756
167	954	749
168	958	743
169	963	736
170	968	730
171	972	723
172	977	717
173	981	710
174	985	704
175	990	697
176	995	691
177	999	685
178	1004	678
179	1009	672
180	1014	666
181	1018	660
182	1023	654
183	1027	647
184	1031	641
185	1036	635
186	1040	629
187	1045	622
188	1050	616
189	1054	610
190	1059	604
191	1063	598
192	1068	592
193	1072	586
194	1077	580
195	1081	574
196	1086	568
197	1090	561
198	1095	555
199	1099	549
200	1104	543
201	1108	537
202	1113	531
203	1117	525
204	1122	519
205	1126	514
206	1131	508
207	1135	502
208	1139	496
209	1144	490
210	1148	484
211	1152	478
212	1157	472
213	1161	466
214	1166	461
215	1170	455
216	1175	449
217	1179	443
218	1183	437
219	1188	432
220	1192	426
221	1197	420
222	1201	414
223	1205	409
224	1210	403
225	1214	397
226	1219	392
227	1224	386
228	1228	380
229	1233	375
230	1237	369
231	1242	364
232	1246	358
233	1251	352
234	1255	347
235	1259	341
236	1264	336
237	1269	330
238	1273	325
239	1278	319
240	1283	314
241	1288	308
242	1292	303
243	1297	297
244	1302	292
245	1306	286
246	1311	281
247	1316	275
248	1320	270
249	1325	265
250	1329	259
251	1333	254
252	1338	248
253	1342	243
254	1346	237
255	1351	232
256	1355	226
257	1360	221
258	1364	216
259	1369	210
260	1373	205
261	1378	199
262	1382	194
263	1387	189
264	1392	183
265	1396	178
266	1400	173
267	1405	167
268	1409	162
269	1414	157
270	1418	151
271	1423	146
272	1427	141
273	1432	135
274	1436	130
275	1441	125
276	1445	120
277	1450	114
278	1454	109
279	1458	104
280	1463	98
281	1467	93
282	1472	88
283	1476	83
284	1480	77
285	1485	72
286	1489	67
287	1494	62
288	1498	57
289	1502	51
290	1507	46
291	1511	41
292	1516	36
293	1520	31
294	1525	25
295	1530	20
296	1535	15
297	1539	10
298	1544	5
299	1548	0
